iter	Passed	Remaining
409	3114	4481
410	3117	4467
411	3120	4452
412	3122	4438
413	3125	4424
414	3128	4410
415	3131	4396
416	3134	4382
417	3153	4391
418	3156	4377
419	3159	4363
420	3162	4349
421	3165	4335
422	3168	4321
423	3171	4308
424	3197	4326
425	3224	4344
426	3227	4331
427	3230	4317
428	3236	4308
429	3239	4294
430	3242	4281
431	3245	4267
432	3248	4253
433	3251	4240
434	3255	4227
435	3258	4214
436	3281	4227
437	3284	4214
438	3287	4201
439	3290	4187
440	3293	4174
441	3296	4161
442	3300	4149
443	3317	4153
444	3320	4140
445	3323	4127
446	3346	4139
447	3349	4127
448	3352	4114
449	3368	4116
450	3371	4103
451	3374	4090
452	3376	4077
453	3379	4064
454	3382	4051
455	3404	4061
456	3421	4065
457	3424	4052
458	3427	4039
459	3430	4026
460	3433	4014
461	3436	4001
462	3438	3988
463	3441	3976
464	3444	3963
465	3461	3966
466	3465	3954
467	3467	3942
468	3470	3929
469	3478	3923
470	3481	3910
471	3484	3898
472	3487	3886
473	3490	3873
474	3493	3861
475	3496	3849
476	3500	3837
477	3502	3825
478	3506	3813
479	3509	3801
480	3512	3789
481	3515	3777
482	3518	3765
483	3521	3754
484	3525	3743
485	3528	3731
486	3531	3719
487	3534	3708
488	3538	3697
489	3542	3686
490	3545	3675
491	3551	3667
492	3565	3666
493	3569	3656
494	3582	3654
495	3588	3646
496	3592	3635
497	3596	3625
498	3600	3614
499	3604	3604
500	3630	3616
501	3633	3604
502	3652	3608
503	3655	3597
504	3659	3586
505	3662	3575
506	3666	3565
507	3670	3554
508	3674	3544
509	3677	3533
510	3681	3522
511	3684	3511
512	3688	3501
513	3691	3490
514	3695	3480
515	3699	3469
516	3702	3459
517	3705	3448
518	3709	3438
519	3713	3427
520	3716	3416
521	3720	3406
522	3723	3396
523	3726	3385
524	3730	3374
525	3733	3364
526	3754	3370
527	3758	3359
528	3761	3349
529	3764	3338
530	3768	3328
531	3772	3318
532	3775	3308
533	3779	3297
534	3782	3287
535	3785	3277
536	3789	3267
537	3792	3256
538	3795	3246
539	3811	3246
540	3815	3236
541	3822	3229
542	3825	3220
543	3829	3210
544	3832	3199
545	3836	3189
546	3839	3180
547	3844	3170
548	3855	3166
549	3897	3189
550	3910	3186
551	3913	3176
552	3917	3166
553	3920	3156
554	3923	3145
555	3953	3157
556	3957	3147
557	3960	3137
558	3963	3126
559	3966	3116
560	3969	3106
561	3972	3096
562	3976	3086
563	3979	3076
564	3982	3066
565	3988	3058
566	3991	3048
567	3995	3038
568	3998	3028
569	4002	3019
570	4004	3009
571	4007	2998
572	4010	2988
573	4013	2978
574	4018	2970
575	4022	2960
576	4025	2951
577	4029	2941
578	4058	2951
579	4062	2941
580	4065	2931
581	4068	2922
582	4073	2913
583	4081	2907
584	4091	2902
585	4097	2894
586	4109	2891
587	4112	2881
588	4116	2872
589	4146	2881
590	4149	2871
591	4152	2862
592	4156	2852
593	4159	2842
594	4162	2833
595	4198	2846
596	4218	2847
597	4236	2848
598	4242	2840
599	4245	2830
600	4250	2822
601	4254	2812
602	4265	2807
603	4268	2798
604	4283	2796
605	4326	2813
606	4329	2803
607	4332	2793
608	4336	2783
609	4339	2774
610	4348	2768
611	4352	2759
612	4358	2751
613	4362	2742
614	4365	2732
615	4387	2734
616	4391	2726
617	4394	2716
618	4397	2706
619	4402	2698
620	4405	2688
621	4408	2679
622	4412	2669
623	4415	2660
624	4470	2682
625	4473	2672
626	4478	2664
627	4481	2654
628	4484	2645
629	4487	2635
630	4490	2626
631	4495	2617
632	4498	2608
633	4501	2598
634	4504	2589
635	4518	2585
636	4525	2578
637	4529	2570
638	4532	2560
639	4535	2551
640	4538	2541
641	4541	2532
642	4543	2522
643	4546	2513
644	4549	2504
645	4552	2494
646	4560	2488
647	4568	2481
648	4571	2472
649	4575	2463
650	4578	2454
651	4581	2445
652	4584	2436
653	4587	2426
654	4619	2433
655	4659	2443
656	4663	2434
657	4668	2426
658	4701	2432
659	4707	2424
660	4714	2417
661	4719	2409
662	4722	2400
663	4725	2391
664	4728	2382
665	4745	2379
666	4748	2370
667	4751	2361
668	4755	2352
669	4762	2345
670	4769	2338
671	4772	2329
672	4775	2320
673	4778	2311
674	4782	2302
675	4796	2298
676	4803	2291
677	4808	2283
678	4834	2285
679	4837	2276
680	4840	2267
681	4843	2258
682	4867	2259
683	4870	2250
684	4873	2241
685	4876	2232
686	4879	2223
687	4882	2213
688	4885	2205
689	4889	2196
690	4892	2187
691	4910	2185
692	4913	2176
693	4916	2167
694	4919	2159
695	4922	2150
696	4925	2141
697	4928	2132
698	4931	2123
699	4934	2114
700	4937	2105
701	4940	2097
702	4944	2088
703	4946	2079
704	4950	2071
705	4953	2062
706	4957	2054
707	4960	2045
708	4964	2037
709	4967	2028
710	4969	2019
711	4972	2011
712	4975	2002
713	4978	1994
714	4981	1985
715	4983	1976
716	4986	1968
717	4989	1959
718	4991	1950
719	4993	1942
720	4996	1933
721	4998	1924
722	5005	1917
723	5008	1909
724	5011	1900
725	5014	1892
726	5017	1884
727	5019	1875
728	5022	1867
729	5025	1858
730	5027	1850
731	5030	1841
732	5033	1833
733	5035	1825
734	5039	1816
735	5042	1808
736	5045	1800
737	5048	1792
738	5050	1783
739	5053	1775
740	5056	1767
741	5058	1759
742	5061	1750
743	5064	1742
744	5067	1734
745	5070	1726
746	5073	1718
747	5075	1710
748	5078	1701
749	5081	1693
750	5084	1685
751	5087	1677
752	5089	1669
753	5092	1661
754	5095	1653
755	5098	1645
756	5101	1637
757	5104	1629
758	5108	1621
759	5111	1614
760	5114	1606
761	5117	1598
762	5119	1590
763	5122	1582
764	5124	1574
765	5127	1566
766	5129	1558
767	5132	1550
768	5134	1542
769	5137	1534
770	5139	1526
771	5142	1518
772	5144	1510
773	5146	1502
774	5149	1495
775	5152	1487
776	5154	1479
777	5157	1471
778	5160	1463
779	5162	1456
780	5165	1448
781	5167	1440
782	5170	1433
783	5175	1425
784	5178	1418
785	5180	1410
786	5183	1402
787	5186	1395
788	5189	1387
789	5191	1380
790	5194	1372
791	5197	1364
792	5200	1357
793	5202	1349
794	5205	1342
795	5208	1334
796	5211	1327
797	5214	1320
798	5217	1312
799	5220	1305
800	5222	1297
801	5225	1290
802	5228	1282
803	5231	1275
804	5234	1267
805	5236	1260
806	5239	1253
807	5242	1245
808	5244	1238
809	5247	1230
810	5250	1223
811	5253	1216
812	5257	1209
813	5260	1201
814	5262	1194
815	5265	1187
816	5268	1180
817	5271	1172
818	5273	1165
819	5276	1158
820	5279	1151
821	5281	1143
822	5285	1136
823	5287	1129
824	5289	1122
825	5292	1114
826	5295	1107
827	5298	1100
828	5301	1093
829	5303	1086
830	5306	1079
831	5309	1072
832	5311	1064
833	5314	1057
834	5317	1050
835	5320	1043
836	5334	1038
837	5336	1031
838	5339	1024
839	5341	1017
840	5344	1010
841	5347	1003
842	5350	996
843	5353	989
844	5355	982
845	5359	975
846	5362	968
847	5365	961
848	5367	954
849	5371	947
850	5373	940
851	5376	933
852	5379	927
853	5382	920
854	5385	913
855	5388	906
856	5391	899
857	5394	892
858	5397	885
859	5400	879
860	5402	872
861	5405	865
862	5408	858
863	5411	851
864	5414	845
865	5417	838
866	5419	831
867	5421	824
868	5423	817
869	5426	810
870	5428	804
871	5430	797
872	5434	790
873	5437	783
874	5440	777
875	5443	770
876	5447	763
877	5450	757
878	5453	750
879	5457	744
880	5460	737
881	5463	730
882	5466	724
883	5469	717
884	5472	711
885	5475	704
886	5478	697
887	5481	691
888	5484	684
889	5487	678
890	5490	671
891	5493	665
892	5496	658
893	5499	652
894	5502	645
895	5505	639
896	5523	634
897	5526	627
898	5529	621
899	5532	614
900	5535	608
901	5538	601
902	5541	595
903	5544	588
904	5547	582
905	5550	575
906	5565	570
907	5569	564
908	5571	557
909	5574	551
910	5576	544
911	5579	538
912	5582	531
913	5584	525
914	5587	519
915	5589	512
916	5592	506
917	5595	499
918	5597	493
919	5602	487
920	5606	480
921	5608	474
922	5611	468
923	5614	461
924	5617	455
925	5620	449
926	5622	442
927	5625	436
928	5628	430
929	5630	423
930	5644	418
931	5646	411
932	5649	405
933	5652	399
934	5655	393
935	5658	386
936	5660	380
937	5663	374
938	5666	368
939	5668	361
940	5671	355
941	5685	350
942	5688	343
943	5690	337
944	5693	331
945	5696	325
946	5699	318
947	5702	312
948	5704	306
949	5707	300
950	5710	294
951	5713	288
952	5716	281
953	5719	275
954	5723	269
955	5726	263
956	5728	257
957	5731	251
958	5734	245
959	5737	239
960	5740	232
961	5743	226
962	5746	220
963	5749	214
964	5753	208
965	5756	202
966	5768	196
967	5771	190
968	5774	184
969	5777	178
970	5786	172
971	5789	166
972	5820	161
973	5823	155
974	5825	149
975	5830	143
976	5832	137
977	5835	131
978	5838	125
979	5841	119
980	5843	113
981	5857	107
982	5862	101
983	5866	95
984	5869	89
985	5872	83
986	5874	77
987	5877	71
988	5880	65
989	5882	59
990	5885	53
991	5888	47
992	5898	41
993	5901	35
994	5904	29
995	5908	23
996	5911	17
997	5914	11
998	5917	5
999	5919	0
